ndc11,hcpcs_code,hcpcs_description,drug_name,manufacturer,hcpcs_dosage,pkg_size,pkg_qty,bill_units_per_item,bill_units_per_pkg,has_multiple_hcpcs,all_hcpcs_codes
000000003TS,Q4121,Theraskin,TheraSkin,Lifenet Health,1 SQ CM,3.0,1,3.0,3.0,False,
000000026TS,Q4121,Theraskin,TheraSkin,Lifenet Health,1 SQ CM,26.0,1,26.0,26.0,False,
0000000AMB2,Q4225,"Amnio or derma tl, per sq cm",DermaBind TL,"Healthtech Wound Care, Inc.",1 SQ CM,4.0,1,4.0,4.0,False,
0000000AMB3,Q4225,"Amnio or derma tl, per sq cm",DermaBind TL,"Healthtech Wound Care, Inc.",1 SQ CM,9.0,1,9.0,9.0,False,
0000000AMB4,Q4225,"Amnio or derma tl, per sq cm",DermaBind TL,"Healthtech Wound Care, Inc.",1 SQ CM,16.0,1,16.0,16.0,False,
0000000AMB7,Q4225,"Amnio or derma tl, per sq cm",DermaBind TL,"Healthtech Wound Care, Inc.",1 SQ CM,43.0,1,43.0,43.0,False,
0000000DFM2,Q4313,"Dermabind fm, per sq cm",DermaBind FM,"Healthtech Wound Care, Inc.",1 SQ CM,4.0,1,4.0,4.0,False,
0000000DFM3,Q4313,"Dermabind fm, per sq cm",DermaBind FM,"Healthtech Wound Care, Inc.",1 SQ CM,9.0,1,9.0,9.0,False,
0000000DFM4,Q4313,"Dermabind fm, per sq cm",DermaBind FM,"Healthtech Wound Care, Inc.",1 SQ CM,16.0,1,16.0,16.0,False,
0000000DFM7,Q4313,"Dermabind fm, per sq cm",DermaBind FM,"Healthtech Wound Care, Inc.",1 SQ CM,43.0,1,43.0,43.0,False,
0000000TM11,Q4342,"Theramend, per sq cm",Theramend DL,BioWound Solutions,1 SQ CM,1.0,1,1.0,1.0,False,
0000000TM22,Q4342,"Theramend, per sq cm",Theramend DL,BioWound Solutions,1 SQ CM,4.0,1,4.0,4.0,False,
0000000TM23,Q4342,"Theramend, per sq cm",Theramend DL,BioWound Solutions,1 SQ CM,6.0,1,6.0,6.0,False,
0000000TM33,Q4342,"Theramend, per sq cm",Theramend DL,BioWound Solutions,1 SQ CM,9.0,1,9.0,9.0,False,
0000000TM44,Q4342,"Theramend, per sq cm",Theramend DL,BioWound Solutions,1 SQ CM,16.0,1,16.0,16.0,False,
0000000TM77,Q4342,"Theramend, per sq cm",Theramend DL,BioWound Solutions,1 SQ CM,49.0,1,49.0,49.0,False,
00000040020,Q4127,Talymed,Talymed,"Marine Polymer Technologies, Inc.",1 SQ CM,25.0,1,25.0,25.0,False,
00000040035,Q4127,Talymed,Talymed,"Marine Polymer Technologies, Inc.",1 SQ CM,9.0,1,9.0,9.0,False,
00000083011,Q4188,Amnioarmor 1 sq cm,AmnioArmor,Bone Bank Allografts,1 SQ CM,1.0,1,1.0,1.0,False,
00000083122,Q4188,Amnioarmor 1 sq cm,AmnioArmor,Bone Bank Allografts,1 SQ CM,4.0,1,4.0,4.0,False,
00000083223,Q4188,Amnioarmor 1 sq cm,AmnioArmor,Bone Bank Allografts,1 SQ CM,6.0,1,6.0,6.0,False,
00000083344,Q4188,Amnioarmor 1 sq cm,AmnioArmor,Bone Bank Allografts,1 SQ CM,16.0,1,16.0,16.0,False,
00000083446,Q4188,Amnioarmor 1 sq cm,AmnioArmor,Bone Bank Allografts,1 SQ CM,24.0,1,24.0,24.0,False,
00000083548,Q4188,Amnioarmor 1 sq cm,AmnioArmor,Bone Bank Allografts,1 SQ CM,32.0,1,32.0,32.0,False,
000000ACA22,Q4302,"Complete aca, per sq cm",Complete ACA,Legacy Medical Consultants,1 SQ CM,4.0,1,4.0,4.0,False,
000000ACA23,Q4302,"Complete aca, per sq cm",Complete ACA,Legacy Medical Consultants,1 SQ CM,6.0,1,6.0,6.0,False,
000000ACA44,Q4302,"Complete aca, per sq cm",Complete ACA,Legacy Medical Consultants,1 SQ CM,16.0,1,16.0,16.0,False,
000000ACA46,Q4302,"Complete aca, per sq cm",Complete ACA,Legacy Medical Consultants,1 SQ CM,24.0,1,24.0,24.0,False,
000000ACA48,Q4302,"Complete aca, per sq cm",Complete ACA,Legacy Medical Consultants,1 SQ CM,32.0,1,32.0,32.0,False,
000000AML33,Q4239,Amnio-maxx or lite per sq cm,Amino-Maxx,Royal Biologics,1 SQ CM,9.0,1,9.0,9.0,False,
000000AML44,Q4239,Amnio-maxx or lite per sq cm,Amnio-Maxx,Royal Biologics,1 SQ CM,16.0,1,16.0,16.0,False,
000000AML48,Q4239,Amnio-maxx or lite per sq cm,Amnio-Maxx,Royal Biologics,1 SQ CM,32.0,1,32.0,32.0,False,
000000AMN11,Q4239,Amnio-maxx or lite per sq cm,Amnio-Maxx,Royal Biologics,1 SQ CM,1.0,1,1.0,1.0,False,
